Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
1,20,16,23,4,8,13,8,5,no
2,31,13,26,4,14,22,16,4,yes
1,27,11,24,4,12,17,6,6,no
1,30,7,23,7,9,31,10,2,no
3,16,6,24,5,11,21,11,4,yes
2,76,36,60,14,20,52,28,2,no
6,62,20,62,22,20,34,20,4,yes
1,28,9,25,5,7,11,6,3,no
6,25,18,33,7,13,13,5,2,yes
1,27,8,21,6,1,26,6,1,no
2,20,9,18,15,6,32,9,3,yes
5,24,13,26,4,6,23,10,5,yes
1,29,11,27,1,3,20,12,6,no
3,18,13,20,4,5,26,10,1,yes
2,34,5,26,4,6,27,14,1,no
2,23,10,24,4,12,15,3,1,no
2,26,10,27,8,16,17,12,2,yes
3,26,7,26,7,7,18,6,1,no
2,30,6,28,7,4,17,8,1,yes
1,25,16,18,3,12,11,10,2,yes
1,29,13,26,4,15,23,16,4,no
3,26,16,26,4,4,20,4,6,no
8,29,7,31,7,8,10,11,8,yes
4,18,11,29,14,2,16,10,2,no
4,25,18,21,3,5,26,10,3,yes
2,24,6,19,0,3,19,12,4,no
3,22,15,24,3,4,26,7,2,no
2,29,8,27,7,12,16,16,4,yes
2,32,17,13,6,15,28,6,4,no
3,19,17,24,4,17,19,9,4,yes
1,30,9,23,5,13,18,5,4,no
5,24,12,21,4,9,5,10,1,yes
0,19,9,18,6,5,9,11,2,no
2,28,14,21,3,5,27,2,1,no
3,20,18,30,3,12,21,8,1,no
3,21,18,21,3,4,13,10,1,no
1,28,8,31,4,11,15,13,2,no
2,17,11,16,2,8,38,8,5,no
4,23,11,27,6,5,42,11,5,yes
4,35,9,24,9,11,34,8,2,yes
5,20,13,28,7,16,31,4,3,no
2,20,12,23,3,6,11,8,4,no
2,17,14,26,5,5,15,17,4,yes
3,28,13,24,2,12,24,14,2,yes
0,34,12,23,3,17,43,12,4,no
1,36,10,24,3,8,19,14,2,no
5,20,12,22,2,12,17,11,2,yes
3,23,9,31,11,3,21,2,5,yes
1,30,8,23,4,5,12,7,4,no
0,34,7,30,6,6,7,14,5,no
